Property_ID,Location,Type,Price,Bedrooms,Bathrooms,Size_sqft,Year_Built,Sold,Date_Added,Agent_ID,Parking_Spaces,HOA_Fees,Lot_Size_acres,Energy_Rating,Days_on_Market
P-104,Melissafurt,Condo,549842,4,1,666,2020,1,2023-03-29,cd2c27a3,2,326.62,1.73,2,587
P-105,Leeport,House,786508,1,2,2868,2020,0,2023-04-30,b9689d37,0,283.17,2.46,5,468
P-106,Davidfurt,Condo,392767,3,1,864,1989,0,2023-09-17,101c4290,3,489.61,4.69,1,518
P-107,Romerochester,Condo,404720,5,1,3742,1932,0,2024-10-02,1bdc27b0,5,86.61,0.5,5,415
P-108,Port Georgeberg,Condo,255669,3,4,4503,1982,1,2022-03-16,b1004f30,4,447.69,1.69,2,298
P-109,Matthewberg,Apartment,285422,2,4,3244,1914,1,2024-03-22,0f348ff2,5,211,1.45,3,118
P-110,Thomasfort,Condo,207522,5,4,4677,1985,0,2024-02-03,ca92baba,4,121.7,2.44,2,57
P-111,New Benjaminshire,House,454696,4,1,899,1970,0,2024-01-21,bd5ebc6c,4,359.57,4.26,5,487
P-112,Robertborough,Apartment,542884,5,3,3326,1970,1,2022-05-06,a1b1ef55,2,92.71,3.86,5,467
P-113,Laramouth,House,97980,1,3,3651,1967,0,2024-04-27,239a8cbe,1,437.26,1.63,5,237
P-114,Lake Alexandria,Condo,641000,4,1,1349,1996,0,2022-11-13,54acacd0,5,204.23,0.96,2,424
P-115,Martinborough,House,309742,3,1,3909,2018,1,2022-12-18,e673b26b,0,114.47,1.87,1,601
P-116,Heidibury,House,703941,1,1,1896,1941,0,2024-08-19,2eb1a43b,3,196.24,4.4,2,235
P-117,Sabrinaburgh,House,755358,1,3,3039,1936,0,2024-02-20,d25f2c5b,5,288.47,4.63,1,355
P-118,Bushshire,House,163809,3,2,1622,1922,0,2022-02-22,64ee4dd7,1,255.73,2.72,3,503
P-119,Krauseport,Condo,484754,4,4,1156,1967,0,2023-11-21,88e57810,5,47.22,3.51,4,597
P-120,Port Breannamouth,Condo,791072,1,1,1445,1935,0,2022-07-18,576b26cf,4,133.84,3.49,1,596
P-121,Thomasstad,House,704282,2,1,2346,2021,1,2022-06-12,8d420cee,4,198.2,3.35,2,620
P-122,Travishaven,Apartment,991937,4,3,2691,1933,0,2024-06-10,6f67e865,3,242.3,4.98,1,654
P-123,Derektown,Apartment,1003494,3,1,2634,1964,0,2022-01-07,127f4ce7,4,269.35,1.39,2,65
P-124,Brianstad,Apartment,1025966,3,1,4054,1942,0,2023-02-10,1dc80c19,1,141.32,2.16,5,405
P-125,Wheelerchester,House,853374,3,4,4528,1971,0,2023-11-27,1367728b,3,312.34,2.27,3,570
P-126,Flynnfurt,Condo,224742,1,4,3337,1909,1,2024-08-13,1fea8e9d,0,366.61,1,3,116
P-127,Isaacland,Apartment,127666,4,3,1959,1978,1,2023-11-14,041d8ee4,4,108.79,3.39,2,480
P-128,Knightview,Apartment,359533,5,3,4589,2014,0,2022-03-20,77fda85f,5,483.86,2.65,3,452
P-129,Maxwellmouth,Apartment,1040141,4,1,3278,1962,0,2023-04-28,204dbd84,3,434,3.32,3,13
P-130,East Renee,Apartment,242479,4,4,4393,1918,1,2023-12-27,bf86a63c,1,438.07,0.25,2,282
P-131,Moralesfort,Apartment,572667,3,3,2894,2019,1,2023-06-30,368f91db,1,457.17,1.86,2,256
P-132,Perezshire,Condo,894623,5,2,1476,1969,1,2022-01-28,29f594b9,2,194.95,1.89,4,394
P-133,Richardsonburgh,Condo,804643,3,3,1449,1907,1,2022-06-13,cbd0f714,0,433.12,2.89,1,406
P-134,Conleyton,House,726668,4,2,3913,1901,1,2022-05-04,9d5f0815,4,306.44,3.85,3,250
P-135,Michaelland,Apartment,111009,5,3,4100,1986,0,2024-09-05,57305a34,4,44.77,1.69,4,232
P-136,East Alexandrafort,Condo,570240,1,4,3736,1957,0,2023-01-21,d01424f8,3,325.25,3.13,1,381
P-137,Jessicaside,Condo,551065,3,3,2512,1998,0,2023-12-03,298fda84,4,179.63,2.54,4,521
P-138,Joditown,Condo,883579,1,1,697,2016,1,2023-10-17,f110ad51,1,328.66,2.01,3,729
P-139,Hortonbury,Apartment,291789,1,4,2424,2010,0,2022-07-12,c166960d,2,32.88,4.48,1,56
P-140,Amberborough,House,314988,4,1,702,1903,1,2022-03-12,c3a09fcb,0,82.78,2.42,2,454
P-141,South Christopher,Apartment,571595,2,2,4321,1913,1,2024-11-10,72ed376a,4,328.73,2.13,3,548
P-142,East Shelbyland,Condo,682876,5,1,4209,1953,1,2023-04-22,6fd68e1d,0,2.06,0.61,2,99
P-143,South Kathrynhaven,Condo,189056,1,1,1245,1965,1,2024-05-31,e9e220e7,2,431.71,3.12,1,579
P-144,Keithfort,House,635713,4,2,3888,1985,0,2022-07-28,17f176cb,1,187.26,2.85,4,274
P-145,Kevinville,Condo,265623,4,4,1523,2008,1,2023-03-11,87617f0e,1,389.29,3.35,1,430
P-146,South James,Condo,1013538,4,1,2549,1921,0,2022-01-28,7f324d6d,2,25.56,4.13,3,13
P-147,South Edward,Apartment,349647,3,2,3574,1963,1,2022-12-17,176d99af,4,443.39,1.65,4,148
P-148,Reynoldston,House,321004,1,1,1204,1925,0,2024-03-14,b6d324a3,1,368.51,1.21,2,514
P-149,Jeffreytown,Condo,970868,1,4,964,1944,0,2023-10-27,b8584aab,2,72.18,2.4,2,679
P-150,West Darrenbury,Apartment,697810,4,2,4366,1962,0,2023-06-29,c5a3e2ab,4,71.6,0.91,4,241
P-151,South Cody,House,490393,2,1,2024,1951,1,2024-04-04,92d9df04,1,497.1,2.14,2,79
P-152,Port Melanie,Apartment,1045918,3,3,4064,1916,1,2023-07-18,a6ea858e,5,294.39,0.26,3,293
P-153,Cannonview,Condo,541559,1,3,2245,1955,1,2024-03-28,577eb2fc,1,87.26,0.52,2,343
P-154,East Kevin,Apartment,396171,2,4,1776,2008,0,2022-12-03,7eb72c34,5,196.54,4.89,1,504
P-155,West Devinmouth,House,909117,4,1,3255,1930,0,2024-02-13,c0140c52,4,133.03,4.02,5,409
P-156,Dennisville,Condo,438551,2,4,2252,1933,1,2023-02-24,b96f4e71,0,97.17,3.5,5,43
P-157,Coleshire,Apartment,671144,2,4,3952,1951,0,2023-07-06,49bfb0f8,4,78.27,0.59,3,273
P-158,Matthewport,House,331478,3,1,739,1948,0,2023-06-21,3d0f45ad,2,308.62,1.59,1,5
P-159,New Paulchester,Apartment,476192,4,3,3751,1918,0,2023-10-02,73019748,3,474.11,3.56,5,213
P-160,Jessicaville,Apartment,1021955,2,1,1968,1949,1,2023-09-07,72e76e09,1,459.6,4.89,3,235
P-161,Alyssaland,House,344621,5,1,1268,1919,0,2023-04-10,6725e753,3,370.8,0.78,4,583
P-162,Joshuaview,Apartment,323356,1,3,3689,1902,1,2024-06-25,c20c574c,3,61.33,2.4,4,65
P-163,Jessicaburgh,Apartment,846470,5,2,1222,2010,1,2023-05-09,ffaa0889,3,135.77,4.45,1,473
P-164,Lake Kathrynton,Condo,302800,5,2,1397,1978,1,2023-04-25,722ad09f,4,198.96,0.19,3,395
P-165,Stacyfort,House,810238,4,1,3113,1963,0,2023-04-24,36bb1076,2,248.5,4.86,5,524
P-166,Carterstad,Condo,416309,3,4,2457,1958,1,2023-12-17,6745e526,1,195.39,2.32,4,279
P-167,Andrewstad,Condo,117086,5,3,1021,1919,0,2022-10-26,042b3f38,3,404.57,0.58,2,125
P-168,South Tony,Condo,849958,3,2,3236,1911,0,2023-11-06,c3b9c1f4,5,361.32,1.54,2,259
P-169,New Krista,Apartment,378595,5,1,4494,1970,0,2023-12-18,495ba75d,2,456.54,4.38,3,317
P-170,Michaelland,House,583407,4,1,548,1990,1,2022-03-11,7aed9a0d,5,243.24,1.39,2,625
P-171,South Catherine,House,234726,2,3,2396,2022,0,2022-09-25,04fa286e,2,171.24,1.92,3,603
P-172,Juliachester,Apartment,893756,3,2,4470,1980,1,2021-12-26,030c6c65,5,123.17,0.96,1,669
P-173,Florestown,Condo,464501,3,1,4671,1916,0,2024-09-08,878d59d5,4,465.24,2.67,2,386
P-174,Riverahaven,Apartment,557944,3,3,759,1903,1,2022-05-18,7315cf4b,3,475.33,0.41,2,124
P-175,Angelport,House,820628,4,4,1147,1986,1,2022-03-19,4f52e8d8,3,332.69,4.32,4,529
P-176,Olivermouth,Apartment,297156,5,3,2690,1995,0,2024-07-05,554cdfad,4,74.63,2.12,5,271
P-177,North Timothy,Condo,549660,4,4,1274,1958,1,2024-07-10,077e7251,0,442.38,1.48,3,502
P-178,Dorseyport,Condo,397309,5,1,4271,1959,1,2023-12-14,3f53a3e2,4,32.21,4.48,1,150
P-179,Lake Jeffrey,Condo,384787,1,2,4556,2006,0,2022-03-24,2cc10f56,4,336.98,2.65,2,630
P-180,West Aaronhaven,House,790209,2,4,656,1998,0,2023-04-12,76becab3,5,128.76,1.4,5,498
P-181,Patrickmouth,House,563673,1,4,4223,1929,1,2024-10-22,0b3dcfe2,5,235.43,4.54,5,679
P-182,East Lisaview,House,109170,5,4,4860,1972,1,2024-05-19,a6995dee,3,275.95,4.77,3,173
P-183,New Cassandra,Condo,658097,5,3,3568,1941,0,2024-01-15,ea9b5ad5,3,208.33,3.78,4,348
P-184,Lake Mariahtown,House,841270,4,2,1478,2010,0,2024-02-28,14769b0f,4,456.53,4.91,3,646
P-185,New Janetfort,Condo,281905,5,2,3619,1927,1,2023-04-21,8b681e4a,5,462.6,4.85,4,34
P-186,Allenside,Condo,931601,1,4,1439,1962,1,2024-07-27,047d5f4a,0,403.16,3.67,2,65
P-187,New Michelle,Condo,738345,1,3,2262,1999,1,2023-02-21,e0840f7f,0,247.34,3.15,2,44
P-188,New Loriton,Condo,346066,2,1,1353,1926,0,2023-01-08,f6262de5,3,3.49,2.83,2,82
P-189,Blakeburgh,Apartment,861675,4,1,3049,2023,0,2023-07-06,0d231c44,3,22.01,2.67,4,118
P-190,Gregoryburgh,Apartment,1015220,5,3,1435,1957,0,2023-07-17,feca26e4,1,316.76,4.26,2,203
P-191,Stephenburgh,Apartment,150429,1,2,4541,1978,1,2023-01-11,ef79586e,2,11.43,1.64,4,210
P-192,Bellton,Condo,329565,4,3,4933,1923,0,2022-09-10,19e29f58,0,51.86,1.77,3,202
P-193,Phillipsberg,House,880872,1,3,2644,1924,1,2022-02-17,3eb1941c,1,197.91,1.91,5,705
P-194,Jonesshire,Apartment,171435,1,3,3406,1909,1,2024-03-27,a84e3a71,5,195.84,0.29,1,34
P-195,Baileybury,House,958658,5,2,3937,1947,0,2022-01-25,6737ab8d,2,45.58,4.25,2,134
P-196,New Chrisland,House,317086,3,4,4986,2007,1,2022-01-17,678316f5,4,61.6,2.27,1,131
P-197,Lake Davidberg,House,461154,2,4,2535,1936,0,2024-01-26,9a93fa19,2,102.38,0.26,1,561
P-198,East Denise,Condo,313786,5,3,3102,1957,0,2024-10-22,66a6378a,4,459.24,2.66,1,364
P-199,West Madelineshire,Condo,553440,1,1,687,1974,1,2022-10-08,3c84ea18,4,290.69,0.58,5,637
P-200,South Kayla,Condo,747677,4,2,1146,1932,1,2022-01-12,8c3c92b6,1,193.04,0.22,1,33
P-201,Kathleenshire,Condo,589624,4,2,3458,1920,1,2022-02-03,adcbaa40,1,421.43,2.38,4,0
P-202,Cantuville,Apartment,214968,2,1,2710,1907,1,2023-03-09,76ac60a5,4,160.76,3.39,2,18
P-203,Paulchester,Apartment,692690,4,4,3687,1953,1,2022-05-02,8c7e2d44,3,125.55,1.1,3,248
P-204,Wilsonland,Condo,439677,5,1,1496,1916,0,2022-11-16,e56b456b,0,154.92,2.55,3,622
P-205,Wileyton,Apartment,814467,5,4,2251,2008,1,2023-12-17,e68ad086,4,51.26,0.94,4,421
P-206,Charlesmouth,Condo,582918,5,2,2118,1988,0,2021-12-24,dcbd26b2,1,152.81,2.5,5,638
P-207,East Amandaview,Condo,775195,1,4,4679,1903,0,2022-05-18,eeb05bb3,3,30.51,3.25,4,14
P-208,Robertville,Apartment,100435,3,3,2755,1964,0,2022-09-08,5baac28f,4,124,2.94,1,504
P-209,East Benjamin,Condo,576975,1,3,3609,1954,0,2023-02-08,bebea066,3,450.09,0.41,2,363
P-210,Darlenefurt,Condo,744194,4,3,2523,2014,1,2022-08-28,fac5566b,3,455.92,0.75,1,333
P-211,Ballberg,House,905196,1,3,4552,1940,1,2022-03-31,39750fee,5,96.22,1.62,3,31
P-212,Lisahaven,Condo,256412,4,3,3225,1963,0,2022-11-03,ba452a1a,0,435.79,1.27,5,586
P-213,Michaelstad,House,683982,2,1,3003,1964,0,2022-03-27,fca9d6ea,4,287.16,0.39,5,698
P-214,South Dianashire,House,147043,3,1,1569,1987,1,2023-12-19,b3df5928,0,257.67,0.35,5,271
P-215,West Rebecca,Condo,192011,3,4,823,1934,1,2022-05-09,650158d4,5,261.58,1.44,2,178
P-216,South Joelburgh,Condo,789288,1,2,4900,2017,1,2024-04-11,d6fd57d7,1,392.08,4.06,5,348
P-217,West Paulshire,House,474016,1,1,1612,1958,0,2022-02-15,43ca775d,2,187.01,2.82,3,149
P-218,Port Ivanberg,Apartment,877781,4,2,4848,1992,1,2023-09-24,c945e255,2,208.94,4.77,3,150
P-219,Branchton,House,104419,2,3,1585,1963,1,2024-01-04,61d28acb,0,285.19,0.91,4,449
P-220,Arnoldport,Condo,825474,4,2,1915,1920,0,2022-03-20,fa6ded5b,4,480.37,4.63,3,400
P-221,Lake Andrewstad,Condo,431598,5,2,2525,1913,0,2024-09-22,d8448f74,2,398.99,0.7,2,229
P-222,Martinshire,House,682376,3,4,3141,1948,0,2024-03-13,3f0fe17e,3,94.22,3.02,5,374
P-223,Ronaldmouth,Apartment,1034505,3,2,1213,1995,0,2023-05-28,acf38577,4,109.81,0.36,4,194
P-224,Deborahshire,Apartment,418382,2,3,1843,2016,0,2022-06-17,4d73b94a,4,485.45,1.85,4,509
P-225,Changville,Apartment,549052,3,4,1202,1961,1,2022-05-02,4f7e0fcd,2,351.18,4.83,3,3
P-226,Timothyberg,Apartment,538612,3,3,564,1958,0,2024-06-15,c1face3a,1,88.84,3.49,5,297
P-227,Tylerbury,Condo,711010,5,3,736,1950,1,2023-12-15,58dbd0ed,0,263.25,2.39,1,286
P-228,Port Shannonside,House,377271,4,2,1983,2019,1,2022-05-30,5d18c7b0,0,437.95,3.69,2,271
P-229,Lisashire,Apartment,1011842,3,1,4763,1914,0,2021-11-30,b5564a65,4,482.77,0.63,4,714
P-230,West Deborah,House,357317,3,2,4946,1945,1,2024-08-13,850621ce,4,433.31,4.68,2,528
P-231,Berrybury,Apartment,896886,3,3,4172,1983,1,2024-11-13,c0071836,5,314.43,0.24,4,402
P-232,Port Robertton,Condo,308748,4,1,2915,2022,1,2023-05-28,9ae80a01,0,389.98,1.18,1,445
P-233,Port Crystal,Condo,682997,3,3,2148,1963,1,2023-01-28,83779458,4,342.88,0.44,1,353
P-234,Mooretown,House,135042,2,2,3358,1989,1,2023-06-24,d7a310b7,1,345.86,4.82,5,210
P-235,Patrickport,House,296286,3,4,3258,1957,1,2024-08-24,c62dfce8,4,345.59,1.89,3,565
P-236,Lake April,House,686832,5,2,741,1915,1,2021-11-26,ebf9affd,5,438.1,2.71,1,121
P-237,Jamietown,House,131150,4,4,4224,2011,1,2022-02-23,00115a57,1,405.07,3.94,1,138
P-238,West Timothy,House,639763,2,3,1008,1973,1,2023-03-31,c5dd8814,2,98.85,4.17,2,105
P-239,Wilkinsonside,Condo,682275,4,1,994,1999,0,2022-06-20,47ba49c0,3,372.97,0.44,5,546
P-240,Ayalamouth,Apartment,189286,3,2,2182,1989,1,2023-08-05,f8caf2a3,1,348.98,3.18,2,32
P-241,Haleyville,Apartment,1011437,1,4,590,1950,0,2023-10-25,45183fa9,0,286.59,3.78,5,223
P-242,Port Robert,House,337394,2,3,1991,2017,1,2022-04-20,f018ac06,2,420.6,4.39,5,538
